sku,name,category,regularPrice,sellingPrice,rating,ratingCount,image,flipkartUrl,badge,description,active,displayOrder,Featured
Fkt026,Kuber Gold Bhimseni 100g Jar (),Camphor,350,290,4,159,https://rukminim1.flixcart.com/image/1536/1536/xif0q/havan-items/z/o/b/bhimseni-100g-jar-kuber-gold-original-imahnmgqgknhnkvw.jpeg?q=90,https://www.flipkart.com/kuber-gold-bhimseni-100g-jar/p/itm24441d759e006?pid=HAIHNMGQSF97URUU,Premium,Premium Camphor,TRUE,18,
Fkt025,Kuber Gold Camphor Tablet 40g Jar (),Camphor,120,109,4.7,210,https://rukminim1.flixcart.com/image/1536/1536/xif0q/havan-items/c/p/b/camphor-tablet-40g-jar-kuber-gold-original-imahzbht8h3th2dy.jpeg?q=90,https://www.flipkart.com/kuber-gold-camphor-tablet-40g-jar/p/itmac59ce627901e?pid=HAIHNMGACBX4JEDV,Value Pack,Premium Camphor,TRUE,19,
Fkt055,Kuber Gold Premium Jumbo Cones Jasmine Dhoop (),Cones,220,183,4.2,329,https://rukminim1.flixcart.com/image/1536/1536/xif0q/dhoop-cone/y/0/c/premium-jumbo-cones-1-kuber-gold-original-imahpbjqg9yuk9r6.jpeg?q=90,https://www.flipkart.com/kuber-gold-premium-jumbo-cones-jasmine-dhoop/p/itm2f2446d20d26d?pid=DCEHPBJSXQKHJ5ZR,New Arrival,400gm Jumbo Cones,TRUE,20,
Fkt014,"Kuber Gold Rose Garden 3in1 Zipper Incense Sticks (120 g, Set of 1)",Cones,70,66,3.9,286,https://rukminim1.flixcart.com/image/1536/1536/xif0q/incense-stick/r/3/6/rose-garden-3in1-zipper-1-120-kuber-gold-original-imahnkdyb7m8etgj.jpeg?q=90,https://www.flipkart.com/kuber-gold-rose-garden-3in1-zipper-incense-sticks/p/itmf832edfdcfcb2?pid=INSHNKDFZ5NFS6XH,Value Pack,Premium Incense Sticks,TRUE,21,Yes
Fkt002,Kuber Gold Premium Platinum Flora Dhoop (),Cones,70,69,4.3,129,https://rukminim1.flixcart.com/image/1536/1536/xif0q/dhoop-cone/k/b/x/premium-platinum-flora-1-kuber-gold-original-imahnfzfzqahyj48.jpeg?q=90,https://www.flipkart.com/kuber-gold-premium-platinum-flora-dhoop/p/itmcd5764b8db829?pid=DCEHNFZ228MAZKME,Premium,Premium Flora Dhoop,TRUE,22,
Fkt060,Kuber Gold Premium Jumbo Incense Cones Jar 400gm Guggal Dhoop (),Cones,220,189,3.8,290,https://rukminim1.flixcart.com/image/1536/1536/xif0q/dhoop-cone/n/f/u/premium-jumbo-incense-cones-jar-400gm-guggal-1-kuber-gold-original-imahpbuz8yzzhten.jpeg?q=90,https://www.flipkart.com/kuber-gold-premium-jumbo-incense-cones-jar-400gm-guggal-dhoop/p/itm4c4952a763c5b?pid=DCEHPBUZ7KPT63GZ,New Arrival,400gm Jumbo Cones,TRUE,23,
Fkt058,Kuber Gold Premium Incense Cones Jar 400gm Rose Dhoop (),Cones,220,183,3.6,189,https://rukminim1.flixcart.com/image/1536/1536/xif0q/dhoop-cone/m/m/u/premium-jumbo-incense-cones-jar-400gm-1-kuber-gold-original-imahpbutkzzsvpzs.jpeg?q=90,https://www.flipkart.com/kuber-gold-premium-incense-cones-jar-400gm-rose-dhoop/p/itm8400715841e18?pid=DCEHPDY6F73C9V9T,New Arrival,400gm Jumbo Cones,TRUE,24,
Fkt056,Kuber Gold Premium Jumbo Dhoop Cones 400gm Lavender Dhoop (),Cones,220,183,4,109,https://rukminim1.flixcart.com/image/1536/1536/xif0q/dhoop-cone/l/o/n/premium-jumbo-dhoop-cones-400gm-1-kuber-gold-original-imahpctuhpynf2hm.jpeg?q=90,https://www.flipkart.com/kuber-gold-premium-jumbo-dhoop-cones-400gm-lavender/p/itm0deafdae534b8?pid=DCEHPBT7QUHFHV4W,New Arrival,400gm Jumbo Cones,TRUE,25,
Fkt059,Kuber Gold Premium Jumbo Incense Cones Jar 300gm Oudh Dhoop (),Cones,220,189,4,279,https://rukminim1.flixcart.com/image/1536/1536/xif0q/dhoop-cone/5/p/x/premium-jumbo-incense-cones-jar-300gm-oudh-1-kuber-gold-original-imahpbunu5nguhgu.jpeg?q=90,https://www.flipkart.com/kuber-gold-premium-jumbo-incense-cones-jar-300gm-oudh-dhoop/p/itmb43fb94f7766d?pid=DCEHPBUNGX72ZMY6,New Arrival,300gm Jumbo Cones,TRUE,26,
Fkt020,Kuber Gold 3in1 / 4in1 Combo Stick Dhoop (),Cones,70,70,4.5,178,https://rukminim1.flixcart.com/image/1536/1536/xif0q/dhoop-cone/0/n/k/3in1-4in1-combo-stick-1-kuber-gold-original-imahnkkczqhufhpv.jpeg?q=90,https://www.flipkart.com/kuber-gold-3in1-4in1-combo-stick-dhoop/p/itmeeff3d3c62f2a?pid=DCEHNKP7ZS9HZW2Y,Value Pack,Premium Dhoop Sticks,TRUE,27,
Fkt057,Kuber Gold Premium Jumbo Incense Cones Jar 400gm Sandal Dhoop (),Cones,220,183,3.5,189,https://rukminim1.flixcart.com/image/1536/1536/xif0q/dhoop-cone/u/e/h/premium-jumbo-incense-cones-jar-400gm-1-kuber-gold-original-imahpbthysue8wyw.jpeg?q=90,https://www.flipkart.com/kuber-gold-premium-jumbo-incense-cones-jar-400gm-sandal-dhoop/p/itm30977d9dcafc5?pid=DCEHPBTHGNKYG84M,New Arrival,400gm Jumbo Cones,TRUE,28,
Fkt017,Kuber Gold Super 4in1 Mix Jar 400gm Dhoop (),Cones,220,192,4,205,https://rukminim2.flixcart.com/image/1536/1536/xif0q/dhoop-cone/j/x/f/super-4in1-mix-jar-400gm-1-kuber-gold-original-imahzbkfhrdydfzf.jpeg?q=90,https://dl.flipkart.com/dl/kuber-gold-super-4in1-mix-jar-400gm-dhoop/p/itm603533c5f711c?pid=DCEHNKSQS79RACGH&lid=LSTDCEHNKSQS79RACGH8QMKYO&_refId=&_appId=CL,New Arrival,400gm Jumbo Cones,TRUE,29,
